feature,risk_level,reason
trailing_occupancy_and_equipment,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_other_gand_a,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_other_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_other_non_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_other_non_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_other_non_operating_income_expenses,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_other_special_charges,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_preferred_stock_dividends,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_professional_expense_and_contract_services_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_reconciled_depreciation,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_rent_and_landing_fees,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_rent_expense_supplemental,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_restructuring_and_mergern_acquisition,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_salaries_and_wages,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_selling_and_marketing_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_selling_general_and_administration,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_special_income_charges,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_tax_effect_of_unusual_items,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_tax_provision,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_tax_rate_for_calcs,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_total_premiums_earned,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_total_revenue,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_total_unusual_items,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_total_unusual_items_excluding_goodwill,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_write_off,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
